age,fnlwgt,marital_status,occupation,sex,capital_gain,capital_loss,hours_per_week,native_country,age_group,capital_net,has_capital_gain,has_capital_loss,income_binary,source,relationship_binary,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,education_level_encoded
39,77516,1,Adm-clerical,1,2174,0,40,United-States,36-45,2174,1,0,0,train,0,False,False,False,False,True,0
50,83311,0,Exec-managerial,1,0,0,13,United-States,46-55,0,0,0,0,train,1,False,False,False,False,True,0
38,215646,2,Handlers-cleaners,1,0,0,40,United-States,36-45,0,0,0,0,train,0,False,False,False,False,True,4
53,234721,0,Handlers-cleaners,1,0,0,40,United-States,46-55,0,0,0,0,train,1,False,False,True,False,False,4
28,338409,0,Prof-specialty,0,0,0,40,Cuba,26-35,0,0,0,0,train,1,False,False,True,False,False,0
37,284582,0,Exec-managerial,0,0,0,40,United-States,36-45,0,0,0,0,train,1,False,False,False,False,True,3
49,160187,2,Other-service,0,0,0,16,Jamaica,46-55,0,0,0,0,train,0,False,False,True,False,False,4
52,209642,0,Exec-managerial,1,0,0,45,United-States,46-55,0,0,0,1,train,1,False,False,False,False,True,4
31,45781,1,Prof-specialty,0,14084,0,50,United-States,26-35,14084,1,0,1,train,0,False,False,False,False,True,3
42,159449,0,Exec-managerial,1,5178,0,40,United-States,36-45,5178,1,0,1,train,1,False,False,False,False,True,0
37,280464,0,Exec-managerial,1,0,0,80,United-States,36-45,0,0,0,1,train,1,False,False,True,False,False,1
30,141297,0,Prof-specialty,1,0,0,40,India,26-35,0,0,0,1,train,1,False,True,False,False,False,0
23,122272,1,Adm-clerical,0,0,0,30,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,0
32,205019,1,Sales,1,0,0,50,United-States,26-35,0,0,0,0,train,0,False,False,True,False,False,1
40,121772,0,Craft-repair,1,0,0,40,United-States,36-45,0,0,0,1,train,1,False,True,False,False,False,1
34,245487,0,Transport-moving,1,0,0,45,Mexico,26-35,0,0,0,0,train,1,True,False,False,False,False,5
25,176756,1,Farming-fishing,1,0,0,35,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,4
32,186824,1,Machine-op-inspct,1,0,0,40,United-States,26-35,0,0,0,0,train,0,False,False,False,False,True,4
38,28887,0,Sales,1,0,0,50,United-States,36-45,0,0,0,0,train,1,False,False,False,False,True,4
43,292175,2,Exec-managerial,0,0,0,45,United-States,36-45,0,0,0,1,train,0,False,False,False,False,True,3
40,193524,0,Prof-specialty,1,0,0,60,United-States,36-45,0,0,0,1,train,1,False,False,False,False,True,3
54,302146,2,Other-service,0,0,0,20,United-States,46-55,0,0,0,0,train,0,False,False,True,False,False,4
35,76845,0,Farming-fishing,1,0,0,40,United-States,26-35,0,0,0,0,train,1,False,False,True,False,False,4
43,117037,0,Transport-moving,1,0,2042,40,United-States,36-45,-2042,0,1,0,train,1,False,False,False,False,True,4
59,109015,2,Tech-support,0,0,0,40,United-States,56-65,0,0,0,0,train,0,False,False,False,False,True,4
56,216851,0,Tech-support,1,0,0,40,United-States,56-65,0,0,0,1,train,1,False,False,False,False,True,0
19,168294,1,Craft-repair,1,0,0,40,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,4
54,180211,0,Prof-specialty,1,0,0,60,South,46-55,0,0,0,1,train,1,False,True,False,False,False,1
39,367260,2,Exec-managerial,1,0,0,80,United-States,36-45,0,0,0,0,train,0,False,False,False,False,True,4
49,193366,0,Craft-repair,1,0,0,40,United-States,46-55,0,0,0,0,train,1,False,False,False,False,True,4
23,190709,1,Protective-serv,1,0,0,52,United-States,18-25,0,0,0,0,train,0,False,False,False,False,True,1
20,266015,1,Sales,1,0,0,44,United-States,18-25,0,0,0,0,train,1,False,False,True,False,False,1
45,386940,2,Exec-managerial,1,0,1408,40,United-States,36-45,-1408,0,1,0,train,1,False,False,False,False,True,0
30,59951,0,Adm-clerical,1,0,0,40,United-States,26-35,0,0,0,0,train,1,False,False,False,False,True,1
22,311512,0,Other-service,1,0,0,15,United-States,18-25,0,0,0,0,train,1,False,False,True,False,False,1
48,242406,1,Machine-op-inspct,1,0,0,40,Puerto-Rico,46-55,0,0,0,0,train,0,False,False,False,False,True,4
21,197200,1,Machine-op-inspct,1,0,0,40,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,1
19,544091,0,Adm-clerical,0,0,0,25,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,4
31,84154,0,Sales,1,0,0,38,United-States,26-35,0,0,0,1,train,1,False,False,False,False,True,1
48,265477,0,Prof-specialty,1,0,0,40,United-States,46-55,0,0,0,0,train,1,False,False,False,False,True,1
31,507875,0,Machine-op-inspct,1,0,0,43,United-States,26-35,0,0,0,0,train,1,False,False,False,False,True,4
53,88506,0,Prof-specialty,1,0,0,40,United-States,46-55,0,0,0,0,train,1,False,False,False,False,True,0
24,172987,0,Tech-support,1,0,0,50,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,0
49,94638,2,Adm-clerical,0,0,0,40,United-States,46-55,0,0,0,0,train,0,False,False,False,False,True,4
25,289980,1,Handlers-cleaners,1,0,0,35,United-States,18-25,0,0,0,0,train,0,False,False,False,False,True,4
57,337895,0,Prof-specialty,1,0,0,40,United-States,56-65,0,0,0,1,train,1,False,False,True,False,False,0
53,144361,0,Machine-op-inspct,1,0,0,38,United-States,46-55,0,0,0,0,train,1,False,False,False,False,True,4
44,128354,2,Exec-managerial,0,0,0,40,United-States,36-45,0,0,0,0,train,0,False,False,False,False,True,3
41,101603,0,Craft-repair,1,0,0,40,United-States,36-45,0,0,0,0,train,1,False,False,False,False,True,1
29,271466,1,Prof-specialty,1,0,0,43,United-States,26-35,0,0,0,0,train,0,False,False,False,False,True,1
25,32275,0,Exec-managerial,0,0,0,40,United-States,18-25,0,0,0,0,train,1,False,False,False,True,False,1
18,226956,1,Other-service,0,0,0,30,United-States,18-25,0,0,0,0,train,1,False,False,False,False,True,4
47,51835,0,Prof-specialty,0,0,1902,60,Honduras,46-55,-1902,0,1,1,train,1,False,False,False,False,True,3
50,251585,2,Exec-managerial,1,0,0,55,United-States,46-55,0,0,0,1,train,0,False,False,False,False,True,0
47,109832,2,Exec-managerial,1,0,0,60,United-States,46-55,0,0,0,0,train,0,False,False,False,False,True,4
43,237993,0,Tech-support,1,0,0,40,United-States,36-45,0,0,0,1,train,1,False,False,False,False,True,1
46,216666,0,Machine-op-inspct,1,0,0,40,Mexico,46-55,0,0,0,0,train,1,False,False,False,False,True,2
